subject,predicate,object
Beef_round_top_round_roast_boneless_separable_lean_only_trimmed_to_0_fat_select_raw,recommendedFor,Insulin_Resistance
Beeftenderloin_steak_raw,recommendedFor,Proteinuria
Squash_pie_pumpkin_peeled_seeded_raw,recommendedFor,Arthralgia
Beef_round_top_round_boneless_choice_raw,recommendedFor,Hyperplasia
Beef_ribeye_steak_boneless_choice_raw,recommendedFor,Stomach_Ulcer
Beans_cannellini_dry,recommendedFor,Diabetic_Ketoacidosis
Cheese_queso_fresco_solid,recommendedFor,Hypoparathyroidism
Oats_whole_grain_rolled_old_fashioned,recommendedFor,Cardiovascular_Diseases
Buckwheat_whole_grain,recommendedFor,Cardiovascular_Diseases
Egg_whole_raw_frozen_pasteurized,recommendedFor,Paranoid_Disorders
Cheese_cheddar,recommendedFor,Drug_Overdose
Oats_whole_grain_rolled_old_fashioned,recommendedFor,Hepatolenticular_Degeneration
Egg_yolk_dried,recommendedFor,Dysgeusia
Corn_flour_masa_harina_white_or_yellow_dry_raw,predictedFor,Necrosis
Flour_coconut,recommendedFor,Splenic_Diseases
Snow_crab_legs_only_frozen__,recommendedFor,Hypocalcemia
Beans_Dry_Small_White_0_moisture,recommendedFor,Hemorrhage
Flour_sorghum,recommendedFor,Hyperglycemia
Beef_short_loin_tbone_steak_bonein_separable_lean_only_trimmed_to_18_fat_choice_cooked_grilled,recommendedFor,Teratozoospermia
Potassium,treats,Hypertension
Tomato_puree_canned,recommendedFor,Water_Electrolyte_Imbalance
Beans_cannellini_dry,recommendedFor,Seizures
Nuts_almonds_whole_raw,recommendedFor,Anemia
Cream_cheese_full_fat_block,recommendedFor,Urinary_Bladder_Diseases
Sesame_butter_creamy,recommendedFor,Polycystic_Ovary_Syndrome
Fiber,treats,Hyperglycemia
Egg_whole_dried,recommendedFor,Tremor
Fish_salmon_Atlantic_farm_raised_raw,recommendedFor,Paralysis
Beans_Dry_Black_0_moisture,recommendedFor,Cardiovascular_Diseases
Magnesium,treats,Fasciculation
Sorghum_bran_white_unenriched_dry_raw,recommendedFor,Asthma
Nuts_pine_nuts_raw,recommendedFor,Tachycardia__Supraventricular
Beef_round_top_round_boneless_choice_raw,recommendedFor,Atherosclerosis
Nuts_brazilnuts_raw,highIn,Zinc
Flour_whole_wheat_unenriched,recommendedFor,Prenatal_Injuries
Cheese_feta_whole_milk_crumbled,recommendedFor,Drug_Related_Side_Effects_and_Adverse_Reactions
Beans_Dry_Black_0_moisture,recommendedFor,Hepatolenticular_Degeneration
Alzheimer_Disease,22-rdf-syntax-ns#type,Disease
Cheese_pasteurized_process_cheese_food_or_product_American_singles,recommendedFor,Neoplasms
Beans_Dry_Light_Tan_0_moisture,recommendedFor,Major_Depressive_Disorder
Mushroom_pioppini,recommendedFor,Diabetes_Mellitus
Beans_Dry_Dark_Red_Kidney_0_moisture,recommendedFor,Anemia
Nuts_pistachio_nuts_raw,recommendedFor,Acute_Kidney_Injury
Beef_top_sirloin_steak_raw,recommendedFor,Cardiotoxicity
Cream_sour_full_fat,recommendedFor,Neurologic_Manifestations
Almond_butter_creamy,highIn,Fat
Beans_Dry_Flor_de_Mayo_0_moisture,recommendedFor,Hyperemia
Flour_cassava,22-rdf-syntax-ns#type,Food
Bread_wholewheat_commercially_prepared,recommendedFor,Pain
Cheese_mozzarella_low_moisture_partskim,highIn,Sodium
Seeds_sunflower_seed_kernels_dry_roasted_with_salt_added,recommendedFor,Bone_Diseases
Beans_cannellini_dry,recommendedFor,Nephrocalcinosis
Flour_coconut,recommendedFor,Hypotension
Cheese_parmesan_grated_refrigerated,highIn,Zinc
Flour_quinoa,recommendedFor,Muscular_Diseases
Buttermilk_low_fat,recommendedFor,Bone_Diseases
Beef_short_loin_tbone_steak_bonein_separable_lean_only_trimmed_to_18_fat_choice_cooked_grilled,recommendedFor,Hyperplasia
Beef_top_sirloin_steak_raw,recommendedFor,Stomach_Ulcer
Beans_Dry_Small_Red_0_moisture,recommendedFor,Bradycardia
Vitamin_D,treats,Bone_Diseases__Endocrine
Cheese_parmesan_grated_refrigerated,recommendedFor,Pulpitis
Egg_whole_dried,recommendedFor,Memory_Disorders
Egg_whole_dried,recommendedFor,Carcinoma__Squamous_Cell
Plantains_ripe_raw,recommendedFor,Diabetes_Mellitus
Flour_potato,recommendedFor,Hypomagnesemia_primary
Brussels_sprouts_raw,recommendedFor,Nerve_Degeneration
Chickpeas_garbanzo_beans_bengal_gram_dry,recommendedFor,Dysgeusia
Flour_amaranth,recommendedFor,Hepatomegaly
Mushroom_maitake,recommendedFor,Pulmonary_Fibrosis
Soy_milk_sweetened_plain_refrigerated,recommendedFor,Leukemia__Myeloid__Acute
Peanuts_raw,recommendedFor,Prenatal_Injuries
Blackeye_pea_dry,recommendedFor,Brain_Injuries
Sesame_butter_creamy,recommendedFor,Coronary_Vasospasm
Beans_Dry_Light_Red_Kidney_0_moisture,recommendedFor,Magnesium_Deficiency
Beef_short_loin_tbone_steak_bonein_separable_lean_only_trimmed_to_18_fat_choice_cooked_grilled,recommendedFor,Atherosclerosis
Beans_Dry_Small_White_0_moisture,recommendedFor,Esophageal_Squamous_Cell_Carcinoma
Beans_cannellini_dry,recommendedFor,Renal_Insufficiency
Collards_raw,recommendedFor,Drug_Overdose
highIn,rdf-schema#range,Nutrient
Egg_white_dried,recommendedFor,Tachycardia__Ectopic_Atrial
Beans_Dry_Medium_Red_0_moisture,recommendedFor,Substance_Withdrawal_Syndrome
Beans_kidney_light_red_canned_sodium_added_sugar_added_drained_and_rinsed,highIn,Sodium
Beans_Dry_Great_Northern_0_moisture,highIn,Calcium
Egg_yolk_dried,recommendedFor,Chemical_and_Drug_Induced_Liver_Injury
Beans_Dry_Black_0_moisture,recommendedFor,Paralysis
Cheese_American_restaurant,recommendedFor,Pulpitis
Beans_Dry_Tan_0_moisture,recommendedFor,Liver_Diseases
Beans_Dry_Pinto_0_moisture,recommendedFor,Diabetic_Cardiomyopathies
Sorghum_bran_white_unenriched_dry_raw,recommendedFor,Cerebrovascular_Disorders
Egg_whole_dried,recommendedFor,Splenic_Diseases
Cheese_parmesan_grated_refrigerated,recommendedFor,Dysgeusia
Cheese_oaxaca_solid,recommendedFor,Hyperemia
Beans_Dry_Pink_0_moisture,recommendedFor,Multiple_Myeloma
Squash_pie_pumpkin_peeled_seeded_raw,22-rdf-syntax-ns#type,Food
Flour_almond,recommendedFor,Cerebrovascular_Disorders
Beeftenderloin_steak_raw,recommendedFor,Asthma
Seeds_pumpkin_seeds_pepitas_raw,recommendedFor,Cholestasis
Seeds_pumpkin_seeds_pepitas_raw,recommendedFor,Atrial_Fibrillation
Flour_semolina_coarse_and_semicoarse,highIn,Carbohydrate
Beans_Dry_Small_White_0_moisture,recommendedFor,Nerve_Degeneration
Vitamin_D,treats,Rickets
Nuts_almonds_dry_roasted_with_salt_added,highIn,Potassium
Flour_coconut,recommendedFor,Torsades_de_Pointes
Nuts_pine_nuts_raw,recommendedFor,Muscle_Cramp
Bread_wholewheat_commercially_prepared,recommendedFor,Bradycardia
Flour_rye,recommendedFor,Hyperkinesis
Flour_amaranth,recommendedFor,Hemorrhage
Beans_Dry_Red_0_moisture,recommendedFor,Peptic_Ulcer
Milk_reduced_fat_fluid_2_milkfat_with_added_vitamin_A_and_vitamin_D,recommendedFor,Weight_Gain
Scallops_bay_Patagonian_frozen_wild_caught,recommendedFor,Substance_Withdrawal_Syndrome
Beans_Dry_Small_Red_0_moisture,recommendedFor,Autistic_Disorder
Pork_cured_bacon_cooked_restaurant,recommendedFor,Diarrhea
Beeftenderloin_steak_raw,recommendedFor,Intestinal_Diseases
Beans_cannellini_dry,recommendedFor,Nerve_Compression_Syndromes
Spinach_baby,highIn,Magnesium
Sausage_breakfast_sausage_beef_precooked_unprepared,22-rdf-syntax-ns#type,Food
Mushroom_pioppini,recommendedFor,Heart_Diseases
Beans_Dry_Pink_0_moisture,recommendedFor,Diabetes_Mellitus__Type_2
Nuts_pistachio_nuts_raw,predictedFor,Inflammation
Farro_pearled_dry_raw,recommendedFor,Anemia__Iron_Deficiency
Flour_sorghum,recommendedFor,Hypertension
Cheese_cotija_solid,recommendedFor,Drug_Related_Side_Effects_and_Adverse_Reactions
Sorghum_bran_white_unenriched_dry_raw,recommendedFor,Long_QT_Syndrome
Spinach_mature,recommendedFor,Hypokalemia
Chia_seeds_dry_raw,recommendedFor,Peripheral_Nervous_System_Diseases
Nuts_walnuts_English_halves_raw,recommendedFor,Weight_Gain
Flour_almond,recommendedFor,Long_QT_Syndrome
Pork_loin_tenderloin_boneless_raw,recommendedFor,Hypomagnesemia_primary
Soy_milk_sweetened_plain_refrigerated,recommendedFor,Arrhythmias__Cardiac
Rice_brown_long_grain_unenriched_raw,recommendedFor,Kidney_Diseases
Flour_sorghum,highIn,Carbohydrate
Cheese_cheddar,recommendedFor,Nephrocalcinosis
Seeds_pumpkin_seeds_pepitas_raw,recommendedFor,Hyperalgesia
Beans_Dry_Small_Red_0_moisture,recommendedFor,Hyperlipidemias
Beans_Dry_Small_Red_0_moisture,recommendedFor,Infant_Death
Beef_short_loin_porterhouse_steak_separable_lean_only_trimmed_to_18_fat_select_raw,recommendedFor,Asthma
Tomatoes_whole_canned_solids_and_liquids_with_salt_added,22-rdf-syntax-ns#type,Food
Flour_soy_defatted,recommendedFor,Anemia
Plantains_ripe_raw,recommendedFor,Heart_Diseases
Farro_pearled_dry_raw,recommendedFor,Glioma
Nuts_almonds_whole_raw,recommendedFor,Rhabdomyolysis
Beans_Dry_Great_Northern_0_moisture,predictedFor,Myalgia
Beans_Dry_Carioca_0_moisture,recommendedFor,Disease_Models__Animal
Einkorn_grain_dry_raw,recommendedFor,Prostatic_Neoplasms
Beef_flank_steak_boneless_choice_raw,recommendedFor,Weight_Loss
Mustard_prepared_yellow,22-rdf-syntax-ns#type,Food
Fish_haddock_raw,recommendedFor,Acute_Kidney_Injury
Beans_Dry_Black_0_moisture,recommendedFor,Melanoma
Beans_Dry_Light_Red_Kidney_0_moisture,recommendedFor,Diarrhea
Beans_Dry_Great_Northern_0_moisture,recommendedFor,Cardiotoxicity
Egg_whole_dried,recommendedFor,Kidney_Diseases__Cystic
Nuts_brazilnuts_raw,recommendedFor,Chemical_and_Drug_Induced_Liver_Injury
Chia_seeds_dry_raw,recommendedFor,Disease_Susceptibility
Beans_Dry_Red_0_moisture,recommendedFor,Pain
Cheese_monterey_jack_solid,recommendedFor,Drug_Overdose
Cheese_oaxaca_solid,recommendedFor,COVID_19
Beans_Dry_Navy_0_moisture,highIn,Zinc
Bread_wholewheat_commercially_prepared,recommendedFor,Autistic_Disorder
Cheese_swiss,recommendedFor,Asthma
Pork_cured_bacon_cooked_restaurant,recommendedFor,Carcinoma__Ehrlich_Tumor
Beans_Dry_Cranberry_0_moisture,recommendedFor,Periodontitis
Fish_pollock_raw,contraindicatedFor,Hypertension
Beans_Dry_Dark_Red_Kidney_0_moisture,recommendedFor,Rhabdomyolysis
Pork_cured_bacon_cooked_restaurant,recommendedFor,Testicular_Diseases
Turkey_ground_93_lean_7_fat_raw,recommendedFor,Hyperemia
Chickpeas_garbanzo_beans_bengal_gram_canned_sodium_added_drained_and_rinsed,recommendedFor,Kidney_Diseases
Beans_snap_green_canned_regular_pack_drained_solids,contraindicatedFor,Heart_Failure
Ham_sliced_restaurant,recommendedFor,Muscular_Diseases
Flour_amaranth,recommendedFor,Esophageal_Squamous_Cell_Carcinoma
Chickpeas_garbanzo_beans_bengal_gram_dry,recommendedFor,Lung_Injury
Cheese_cheddar,recommendedFor,Renal_Insufficiency
Plantains_overripe_raw,recommendedFor,Hypokalemic_Periodic_Paralysis
Egg_whole_raw_frozen_pasteurized,recommendedFor,Cognition_Disorders
Nuts_hazelnuts_or_filberts_raw,recommendedFor,Coronary_Vasospasm
Chickpeas_garbanzo_beans_bengal_gram_dry,recommendedFor,Developmental_Disabilities
Nuts_pine_nuts_raw,recommendedFor,Ventricular_Fibrillation
Beef_ground_90_lean_meat__10_fat_raw,recommendedFor,Hyperplasia
Turkey_ground_93_lean_7_fat_panbroiled_crumbles,recommendedFor,Acute_Kidney_Injury
Chia_seeds_dry_raw,recommendedFor,Neural_Tube_Defects
Nuts_pine_nuts_raw,recommendedFor,Tachycardia
Respiratory_Tract_Diseases,22-rdf-syntax-ns#type,Disease
Beans_Dry_Black_0_moisture,recommendedFor,Cholestasis__Extrahepatic
Halibut_frozen_wild_caught,recommendedFor,Muscle_Weakness
Buttermilk_low_fat,recommendedFor,Seizures
Almond_butter_creamy,recommendedFor,Drug_Overdose
Pork_belly_with_skin_raw,22-rdf-syntax-ns#type,Food
Restaurant_Latino_tamale_pork,recommendedFor,Pulpitis
Egg_whole_raw_frozen_pasteurized,recommendedFor,Respiratory_Tract_Diseases
Sesame_butter_creamy,recommendedFor,Urinary_Bladder_Diseases
Fish_cod_Atlantic_wild_caught_raw,22-rdf-syntax-ns#type,Food
Beef_round_top_round_boneless_choice_raw,recommendedFor,Cardiomyopathies
Bread_wholewheat_commercially_prepared,recommendedFor,Infant_Death
Flour_amaranth,recommendedFor,Nerve_Degeneration
Yogurt_plain_whole_milk,recommendedFor,Arrhythmias__Cardiac
Mushroom_pioppini,highIn,Potassium
Beef_round_top_round_roast_boneless_separable_lean_only_trimmed_to_0_fat_select_raw,22-rdf-syntax-ns#type,Food
Cheese_ricotta_whole_milk,recommendedFor,Weight_Gain
Sesame_butter_creamy,recommendedFor,Ventricular_Fibrillation
Beef_loin_top_loin_steak_boneless_lipon_separable_lean_only_trimmed_to_18_fat_choice_raw,recommendedFor,Protein_Deficiency
Blueberries_raw,22-rdf-syntax-ns#type,Food
Sesame_butter_creamy,recommendedFor,Tachycardia
Nuts_almonds_dry_roasted_with_salt_added,recommendedFor,Hypoparathyroidism
Bread_wholewheat_commercially_prepared,recommendedFor,Fasciculation
Beans_Dry_Great_Northern_0_moisture,recommendedFor,Cerebrovascular_Disorders
Beans_Dry_Flor_de_Mayo_0_moisture,recommendedFor,Osteoporosis__Postmenopausal
Tomato_paste_canned_without_salt_added,recommendedFor,Drug_Related_Side_Effects_and_Adverse_Reactions
Beans_Dry_Light_Red_Kidney_0_moisture,recommendedFor,Carcinoma__Ehrlich_Tumor
Cheese_feta_whole_milk_crumbled,recommendedFor,Hypotension
Flour_potato,recommendedFor,Acute_Kidney_Injury
Iron,treats,Parasomnias
Cheese_dry_white_queso_seco,recommendedFor,Hyperemia
Ham_sliced_restaurant,predictedFor,Melanoma
Buttermilk_low_fat,recommendedFor,Nephrocalcinosis
Mushroom_maitake,recommendedFor,Hypertension
Beef_ground_90_lean_meat__10_fat_raw,recommendedFor,Atherosclerosis
Beans_Dry_Light_Tan_0_moisture,recommendedFor,Drug_Related_Side_Effects_and_Adverse_Reactions
Egg_white_dried,recommendedFor,Heart_Failure
Beans_Dry_Pinto_0_moisture,highIn,Zinc
Eggs_Grade_A_Large_egg_whole,recommendedFor,Muscle_Weakness
Beans_Dry_Red_0_moisture,recommendedFor,Bradycardia
Figs_dried_uncooked,recommendedFor,Osteoporosis
Chicken_broilers_or_fryers_drumstick_meat_only_cooked_braised,recommendedFor,Water_Electrolyte_Imbalance
Flaxseed_ground,recommendedFor,Cardiovascular_Diseases
Oat_milk_unsweetened_plain_refrigerated,recommendedFor,Myalgia
Crustaceans_crab_blue_swimming_lump_pasteurized_refrigerated,recommendedFor,Proteinuria
Flour_oat_whole_grain,recommendedFor,Hepatomegaly
Flaxseed_ground,recommendedFor,Hepatolenticular_Degeneration
Nuts_almonds_dry_roasted_with_salt_added,recommendedFor,Hypokalemia
Seeds_sunflower_seed_kernels_dry_roasted_with_salt_added,recommendedFor,Migraine_Disorders
Flour_soy_fullfat,recommendedFor,Peripheral_Nervous_System_Diseases
Flour_coconut,recommendedFor,Fever
Nuts_pine_nuts_raw,recommendedFor,Arrhythmias__Cardiac
Beef_chuck_roast_boneless_choice_raw,recommendedFor,Hyperemia
Kale_frozen_cooked_boiled_drained_without_salt,recommendedFor,Acute_Kidney_Injury
Kale_raw,recommendedFor,Pulpitis
Beans_cannellini_dry,highIn,Calcium
Buckwheat_whole_grain,predictedFor,Weight_Loss
Beef_round_top_round_roast_boneless_separable_lean_only_trimmed_to_0_fat_select_raw,recommendedFor,Diabetic_Cardiomyopathies
Beef_short_loin_tbone_steak_bonein_separable_lean_only_trimmed_to_18_fat_choice_cooked_grilled,recommendedFor,Cardiomyopathies
Lentils_dry,recommendedFor,Necrosis
Oats_whole_grain_rolled_old_fashioned,recommendedFor,Hyperplasia
Soy_milk_sweetened_plain_refrigerated,recommendedFor,Memory_Disorders
Sesame_butter_creamy,recommendedFor,Arrhythmias__Cardiac
Flour_soy_fullfat,recommendedFor,Disease_Susceptibility
Tomatoes_whole_canned_solids_and_liquids_with_salt_added,highIn,Sodium
Cheese_oaxaca_solid,recommendedFor,Osteoporosis__Postmenopausal
Fonio_grain_dry_raw,recommendedFor,Autistic_Disorder
Flour_oat_whole_grain,recommendedFor,Hemorrhage
Collards_raw,recommendedFor,Renal_Insufficiency
Flour_whole_wheat_unenriched,recommendedFor,Inflammation
Beef_chuck_roast_boneless_choice_raw,highIn,Fat
Nuts_walnuts_English_halves_raw,recommendedFor,Stomach_Ulcer
Cabbage_red_raw,highIn,Vitamin_C
Nuts_almonds_whole_raw,recommendedFor,Parasomnias
Beans_Dry_Pink_0_moisture,recommendedFor,Bone_Diseases
Parsnips_raw,highIn,Fiber
Pork_loin_tenderloin_boneless_raw,recommendedFor,Acute_Kidney_Injury
Mushroom_enoki,recommendedFor,Nerve_Degeneration
Flour_soy_fullfat,recommendedFor,Neural_Tube_Defects
Beans_Dry_Small_White_0_moisture,highIn,Protein
Beans_Dry_Red_0_moisture,recommendedFor,Autistic_Disorder
Chia_seeds_dry_raw,recommendedFor,Diabetes_Mellitus
Chia_seeds_dry_raw,recommendedFor,Developmental_Disabilities
Sausage_breakfast_sausage_beef_precooked_unprepared,highIn,Saturated_Fat
Mushroom_crimini,recommendedFor,Hypokalemic_Periodic_Paralysis
Potatoes_gold_without_skin_raw,recommendedFor,Water_Electrolyte_Imbalance
Beans_Dry_Tan_0_moisture,recommendedFor,Magnesium_Deficiency
Flour_whole_wheat_unenriched,recommendedFor,Water_Electrolyte_Imbalance
Buttermilk_low_fat,recommendedFor,Nerve_Compression_Syndromes
Potassium,treats,Diabetic_Ketoacidosis
Soy_milk_unsweetened_plain_shelf_stable,recommendedFor,Hypotension
Nuts_hazelnuts_or_filberts_raw,recommendedFor,Urinary_Bladder_Diseases
Blackeye_pea_dry,recommendedFor,Hyperalgesia
Turkey_ground_93_lean_7_fat_panbroiled_crumbles,predictedFor,Water_Electrolyte_Imbalance
Parsnips_raw,recommendedFor,Hypomagnesemia_primary
Spinach_mature,highIn,Magnesium
Mushroom_lions_mane,recommendedFor,Hypomagnesemia_primary
Cheese_monterey_jack_solid,recommendedFor,Nephrocalcinosis
Lentils_dry,recommendedFor,Infant_Death
Cheese_oaxaca_solid,recommendedFor,Weight_Loss
Tomatoes_crushed_canned,recommendedFor,Hyperkinesis
Nuts_hazelnuts_or_filberts_raw,recommendedFor,Ventricular_Fibrillation
Flour_spelt_whole_grain,recommendedFor,Cardiotoxicity
Beans_Dry_Flor_de_Mayo_0_moisture,recommendedFor,Gastrointestinal_Diseases
Nuts_hazelnuts_or_filberts_raw,recommendedFor,Tachycardia
Nuts_walnuts_English_halves_raw,recommendedFor,Brain_Injuries
Beans_Dry_Pink_0_moisture,recommendedFor,Movement_Disorders
Beef_chuck_roast_boneless_choice_raw,recommendedFor,COVID_19
Vitamin_D,treats,Pruritus
Cheese_ricotta_whole_milk,recommendedFor,Sinus_Arrest__Cardiac
Cheese_cotija_solid,recommendedFor,Hypotension
Cheese_American_restaurant,predictedFor,Protein_Deficiency
Fish_haddock_raw,recommendedFor,Kidney_Diseases
Flour_barley,recommendedFor,Substance_Withdrawal_Syndrome
Lentils_dry,recommendedFor,Fasciculation
Beans_Dry_Red_0_moisture,recommendedFor,Hyperlipidemias
Beans_Dry_Small_White_0_moisture,recommendedFor,Esophageal_Neoplasms
Wild_rice_dry_raw,recommendedFor,Testicular_Diseases
Beans_cannellini_dry,recommendedFor,Cardiotoxicity
Beans_Dry_Red_0_moisture,recommendedFor,Infant_Death
Flour_spelt_whole_grain,recommendedFor,Stomach_Ulcer
Flour_quinoa,recommendedFor,Prostatic_Neoplasms
Nuts_pistachio_nuts_raw,recommendedFor,Hypokalemic_Periodic_Paralysis
Flour_semolina_fine,predictedFor,Heart_Diseases
Nuts_pine_nuts_raw,recommendedFor,Tremor
Beans_Dry_Red_0_moisture,recommendedFor,Fasciculation
Sausage_turkey_breakfast_links_mild_raw,recommendedFor,Renal_Insufficiency
Flour_chestnut,recommendedFor,Cerebrovascular_Disorders
Peanut_butter_creamy,recommendedFor,Prenatal_Injuries
Flour_oat_whole_grain,recommendedFor,Esophageal_Squamous_Cell_Carcinoma
Oats_whole_grain_rolled_old_fashioned,recommendedFor,Leukemia
Crustaceans_crab_blue_swimming_lump_pasteurized_refrigerated,recommendedFor,Asthma
Pork_cured_bacon_cooked_restaurant,recommendedFor,Polycystic_Ovary_Syndrome
Figs_dried_uncooked,recommendedFor,Water_Electrolyte_Imbalance
Sesame_butter_creamy,recommendedFor,Tremor
Sweet_potatoes_orange_flesh_without_skin_raw,recommendedFor,Paralysis
Peanuts_raw,recommendedFor,Water_Electrolyte_Imbalance
Turkey_ground_93_lean_7_fat_panbroiled_crumbles,recommendedFor,Craniofacial_Abnormalities
Cheese_monterey_jack_solid,recommendedFor,Renal_Insufficiency
Vitamin_D,treats,Leukemia__Myeloid__Acute
Flour_spelt_whole_grain,recommendedFor,Brain_Injuries
Beans_Dry_Small_Red_0_moisture,recommendedFor,Hypocalcemia
Flour_soy_fullfat,predictedFor,Mobility_Limitation
Seeds_sunflower_seed_kernels_dry_roasted_with_salt_added,recommendedFor,Proteinuria
Crustaceans_crab_blue_swimming_lump_pasteurized_refrigerated,recommendedFor,Intestinal_Diseases
Nuts_pine_nuts_raw,recommendedFor,Carcinoma__Squamous_Cell
Cheese_parmesan_grated,recommendedFor,Hepatolenticular_Degeneration
Nuts_hazelnuts_or_filberts_raw,recommendedFor,Arrhythmias__Cardiac
Flour_bread_white_enriched_unbleached,highIn,Iron
Flaxseed_ground,recommendedFor,Melanoma
Beans_Dry_Flor_de_Mayo_0_moisture,recommendedFor,Kidney_Diseases
Sorghum_bran_white_unenriched_dry_raw,recommendedFor,Acute_Kidney_Injury
Beef_ribeye_steak_boneless_choice_raw,recommendedFor,Diabetic_Cardiomyopathies
Tachycardia__Supraventricular,22-rdf-syntax-ns#type,Disease
Beans_Dry_Black_0_moisture,recommendedFor,Leukemia
Cheese_oaxaca_solid,recommendedFor,Gastrointestinal_Diseases
Cheese_dry_white_queso_seco,contraindicatedFor,Hypertension
Flour_chestnut,recommendedFor,Long_QT_Syndrome
Beans_Dry_Tan_0_moisture,recommendedFor,Diarrhea
Beef_top_sirloin_steak_raw,22-rdf-syntax-ns#type,Food
Almond_butter_creamy,recommendedFor,Renal_Insufficiency
Blackeye_pea_dry,recommendedFor,Acrodermatitis
Collards_raw,recommendedFor,Weight_Gain
Sesame_butter_creamy,recommendedFor,Carcinoma__Squamous_Cell
Yogurt_Greek_strawberry_nonfat,recommendedFor,Drug_Overdose
Beans_Dry_Medium_Red_0_moisture,highIn,Calcium
Chia_seeds_dry_raw,recommendedFor,Heart_Diseases
Beef_ribeye_steak_boneless_choice_raw,highIn,Protein
Cheese_dry_white_queso_seco,recommendedFor,Osteoporosis__Postmenopausal
Sausage_Italian_pork_mild_cooked_panfried,recommendedFor,Ventricular_Fibrillation
Almond_milk_unsweetened_plain_shelf_stable,recommendedFor,Hypocalcemia
Nuts_walnuts_English_halves_raw,recommendedFor,Insulin_Resistance
Sausage_Italian_pork_mild_cooked_panfried,recommendedFor,Tachycardia
Beef_ground_90_lean_meat__10_fat_raw,recommendedFor,Cardiomyopathies
Flour_soy_fullfat,recommendedFor,Diabetes_Mellitus
Flour_soy_fullfat,recommendedFor,Developmental_Disabilities
Avocado_Hass_peeled_raw,predictedFor,Cardiomyopathies
Flaxseed_ground,recommendedFor,Cholestasis__Extrahepatic
Cheese_cheddar,recommendedFor,Sinus_Arrest__Cardiac
Flour_amaranth,recommendedFor,Muscle_Weakness
Seeds_sunflower_seed_kernels_dry_roasted_with_salt_added,recommendedFor,Vasospasm__Intracranial
Beans_Dry_Medium_Red_0_moisture,recommendedFor,Cell_Transformation__Neoplastic
Beans_Dry_Medium_Red_0_moisture,recommendedFor,Necrosis
Nuts_pine_nuts_raw,recommendedFor,Splenic_Diseases
Chia_seeds_dry_raw,recommendedFor,Ventricular_Dysfunction__Left
Beans_Dry_Small_White_0_moisture,recommendedFor,Pulpitis
Beans_Dry_Cranberry_0_moisture,recommendedFor,Multiple_Myeloma
Bread_wholewheat_commercially_prepared,recommendedFor,Hypocalcemia
Flour_whole_wheat_unenriched,recommendedFor,Migraine_Disorders
Khorasan_grain_dry_raw,recommendedFor,Anemia__Iron_Deficiency
Beans_Dry_Light_Tan_0_moisture,recommendedFor,Hypotension
Seeds_sunflower_seed_kernel_raw,recommendedFor,Cardiovascular_Diseases
Beans_Dry_Light_Red_Kidney_0_moisture,recommendedFor,Tachycardia__Supraventricular
Nuts_cashew_nuts_raw,recommendedFor,Multiple_Myeloma
